idEncuesta;Nombre Encuesta;FechaFinParticipación;idParticipacion;FechaParticipacion;Distrito;Edad;Nacionalidad;Sexo;Marque NO, en caso de no querer realizar esta encuesta y querer darse de baja en la lista de distribución que se emplea para invitarle a participar en encuestas de satisfacción relacionadas con el servicio que presta la Biblioteca Histórica;¿Con qué finalidad se dirige habitualmente a la Biblioteca Histórica Municipal?;¿Puede indicarnos a qué otros fines?;¿Cuántas veces ha acudido en el último año a la Biblioteca Histórica?;¿Ha utilizado el servicio de consulta en sala?;¿Qué opinión le merece el tiempo de espera para ser atendido? Valore de 0 a 10. Consulta en sala;¿Ha utilizado el servicio de reprografía?;¿Qué opinión le merece el tiempo de espera para la recogida de los documentos? Valore de 0 a 10. Servicio de reprografía;¿Ha participado en alguna actividad organizada por la Biblioteca Histórica (visitas guiadas, exposiciones, conferencias, talleres, presentaciones, etc.)?;¿Qué opinión le merecen las actividades? Valore de 0 a 10.;Servicio de información general y especializada;Servicio de reserva de documentos;¿Conoce la página web de la Biblioteca Histórica?;La actualización de la información y los contenidos;La facilidad de la búsqueda en el catálogo;La facilidad de localización de obras digitalizadas;Tiempo de descarga de los documentos digitalizados;El edificio y las instalaciones;El horario de apertura.;La información general y especializada recibida;El uso de la red wifi;El trato y atención recibidos;El proceso de realización de carnés;La adecuación de la colección a sus necesidades;¿Cuál es su valoración general de la Biblioteca Histórica y sus servicios? Valore de 0 a 10.;PREGUNTA 13 De manera global, el servicio prestado por la Biblioteca Histórica Municipal ha sido: ;¿Qué medidas sugiere para mejorar la calidad de los servicios de la Biblioteca Histórica de Madrid?;¿En cuál de los siguientes grupos de edad se encuentra usted?;Indiquemos su correo electrónico y a partir de estos momentos no recibirá invitación para participar en encuestas de satisfacción relacionadas con la Biblioteca Histórica Municipal.
ENCUESTA DIGITAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.0;190862;2021-11-28 20:51:21. 0;;;;;Iniciar la encuesta;Investigación y estudio;;1;Sí;9;Sí;9;Sí;9;No he utilizado nunca el servicio;9;Sí;8;8;9;9;6;7;8;;9;9;9;9;No sabe/no contesta;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.1;1;2021-01-20;;;;H;;Interés profesional;;1;Sí;10;Sí;10;Sí;;10;;Sí;No sabe / No contesta;10;10;10;10;5;10;;10;10;;9;Igual de lo que esperaba;;De 30 a 44 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.2;2;02/02/2021;;;;H;;Investigación y estudio/ Interés profesional;;;;;Sí;10;No;;10;No he utilizado nunca el servicio;Si;10;10;10;10;;;10;;10;No sabe/ No contesta;;10;Mejor de lo que esperaba;;De 18 a 29 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.3;3;03/02/2021;;;;H;;Investigación y estudio;;2;;;Sí;10;No;;9;No he utilizado nunca el servicio;Sí;9;9;8;9;9;8;9;;10;9;;9;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.4;4;01/03/2021;;;;H;;Investigación y estudio;;2;;;Sí;10;No;;10;10;Sí;10;10;10;10;10;10;10;;10;10;;10;Igual de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.5;5;02/03/2021;;;;H;;Investigación y estudio;;1;9;;No;;No;;7;8;No;;;;;9;2;7;;10;8;;9;Mejor de lo que esperaba;Horario más amplio y wifi para consultas online;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.6;6;03/03/2021;;;;M;;Otros;;1;;;;;Sí;9;;;No;;;;;;;;;9;;;9;Igual de lo que esperaba;;;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.7;7;03/03/2021;;;;M;;;;;;;;;;;;;;;;;;;;;;10;;;;Igual de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.8;8;03/03/2021;;;;M;;Interés personal;;1;;;;;Sí;8;;;No;;;;;;;;;10;;;;Igual de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.9;9;03/03/2021;;;;M;;Interés profesional;;1;;;;;Sí;8;;;No;;;;;;;;;9;;;8;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.10;10;03/03/2021;;;;M;;Otros;;1;;;;;Sí;6;;;No;;;;;;;;;7;;;7;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.11;11;03/03/2021;;;;M;;Interés personal;;1;;;;;Sí;7;;;;;;;;;;;;;;;;Mejor de lo que esperaba;;De 30 a 44 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.12;12;03/03/2021;;;;H;;Interés personal;;1;;;;;Sí;9;;;No;;;;;;;;;;;;;No sabe/no contesta;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.13;13;01/03/2021;;;;M;;Otros;;1;;;;;Sí;10;;;Sí;6;7;6;6;;;;;8;;;8;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.14;14;01/03/2021;;;;M;;Otros;;1;;;;;Sí;10;;;Sí;10;7;7;10;5;5;;;5;;;6;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.15;15;01/03/2021;;;;M;;Interés personal;;2;;;;;Sí;10;;;Sí;9;9;9;9;8;8;;;10;;;10;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.16;16;01/03/2021;;;;M;;Investigación y estudio/Interés personal;;1;;;;;Sí;8;;;Sí;10;10;10;10;;;;;10;;;10;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.17;17;01/03/2021;;;;H;;Interés personal;;1;;;;;Sí;9;;;No;;;;;10;10;;;10;;;10;No sabe/no contesta;;De 30 a 44 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.18;18;01/03/2021;;;;M;;Investigación y estudio;;1;;;;;Sí;10;;;Sí;9;9;10;10;8;6;;;8;;;8;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.19;19;26/02/2021;;;;M;;Investigación y estudio;;1;Si;7;;;Sí;7;;;Sí;8;10;10;10;;9;;;10;;;9;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.20;20;11/03/2021;;;;H;;Investigación y estudio;;1;Si;10;;;Sí;10;;;Sí;6;7;7;6;9;10;;;10;;;10;Mejor de lo que esperaba;Presupuesto;De 18 a 29 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.21;21;07/04/2021;;;;M;;Investigación y estudio;;1;Sí;10;;;;;;;Sí;10;10;10;10;8;7;8;;9;9;;7;Mejor de lo que esperaba;;De 30 a 44 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.22;22;07/04/2021;;;;H;;Investigación y estudio;;1;Sí;10;;;;;;;Sí;;10;;;10;10;10;;10;10;;10;Igual de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.23;23;07/04/2021;;;;H;;Investigación y estudio;;1;;;Sí;10;;;;;No;;;;;10;10;10;;10;10;;10;Mejor de lo que esperaba;;De 45 a 64 años;
ENCUESTA PRESENCIAL;Encuesta de satisfacción 2021: Bibliotecas especializadas del Ayuntamiento de Madrid. Biblioteca Histórica;2021-12-23 00:00:00.24;24;04/05/2021;;;;M;;Investigación y estudio;;1;;;Sí;10;;;;10;Sí;10;10;10;9;9;9;10;;10;10;;10;Igual de lo que esperaba;"Mi experiencia con el servicio de consulta y reproducción de la Biblioteca es inmejorable. Mi sugrencia, por tanto, es que desde las administraciones se mantengan o mejoren los medios para que esta biblioteca pueda mantener el actual nivel de eficiencia y buen servicio. Debo destacar, además, el excelente trato recibido; la amabilidad no implica una mayor eficiencia, pero, sin duda, repercute en la excelencia del servicio.";De 45 a 64 años;
